Author,Description,Gener,title
Arpit Vageria,"Armaan, a TV writer in Mumbai, seemingly has everything that makes him a success story. However, his heart yearns for his hometown, Indore. Sara, after successfully sailing through ups and downs of life, ends up joining a leading TV channel in Mumbai. In a filmy twist, Armaan and Sara meet and fall in love. However, life is not necessarily kind to everyone and the young couple faces their share of struggle to survive and make their love work.",Romance,Be My Perfect Ending††
Hashimi Nadia,"A vivid, unforgettable story of an unlikely sisterhood-an emotionally powerful and haunting tale of friendship that illuminates the plight of women in a traditional culture-from the author of the bestselling The Pearl That Broke Its Shell and When the Moon Is Low. For two decades, Zeba was a loving wife, a patient mother, and a peaceful villager. But her quiet life is shattered when her husband, Kamal, is found brutally murdered with a hatchet in the courtyard of their home. Nearly catatonic with shock, Zeba is unable to account for her whereabouts at the time of his death. Her children swear their mother could not have committed such a heinous act. Kamal's family is sure she did, and demands justice. Barely escaping a vengeful mob, Zeba is arrested and jailed.As Zeba awaits trial, she meets a group of women whose own misfortunes have also led them to these bleak cells: thirty-year-old Nafisa, imprisoned to protect her from an honor killing; twenty-five-year-old Latifa, who ran away from home with her teenage sister but now stays in the prison because it is safe shelter; and nineteen-year-old Mezhgan, pregnant and unmarried, waiting for her lover's family to ask for her hand in marriage. Is Zeba a cold-blooded killer, these young women wonder, or has she been imprisoned, as they have been, for breaking some social rule? For these women, the prison is both a haven and a punishment. Removed from the harsh and unforgiving world outside, they form a lively and indelible sisterhood. Into this closed world comes Yusuf, Zeba's Afghan-born, American-raised lawyer, whose commitment to human rights and desire to help his motherland have brought him back. With the fate of this seemingly ordinary housewife in his hands, Yusuf discovers that, like Afghanistan itself, his client may not be at all what he imagines. A moving look at the lives of modern Afghan women, A House Without Windows is astonishing, frightening, and triumphant.",Fiction  ,A House Without Windows - A Novel
Kubo Tite,"Ichigo Kurosaki never asked for the ability to see ghosts - he was born with the gift. When his family is attacked by a Hollow - a malevolent lost soul - Ichigo becomes a Soul Reaper, dedicating his life to protecting the innocent and helping the tortured spirits themselves find peace. Find out why Tite Kubo's Bleach has become an international manga smash-hit! Contains volumes 1-21 and an exclusive double-sided poster and character book!",Comics & Graphic Novels  ,Bleach Box Set 1
Sujit Saraf,"It is the year 1899. In the northwestern corner of British India, the Chhappaniya famine stalks the desert region of Shekhavati. A despairing shopkeeper turns to his young son and says, 'This land has nothing to offer us but sand dunes and khejra bushes.' Soon after, twelve-year-old Harilal Tibrewal, recently married to eleven-year-old Parmeshwari, sets off, alone, for the densely populated plains of Bengal in eastern India - travelling on camelback and by bus, train and boat to arrive in Calcutta, two thousand kilometres away...In his new novel, Sujit Saraf takes readers on an epic journey from Shekhavati in Rajasthan to the Calcutta of the early twentieth century, to Bogra in East Bengal and to a village in Bihar in newly independent India. A sprawling, compulsively readable narrative, it follows the story of Harilal as he sets up Harilal &amp; Sons, a shop selling jute, cotton, spices, rice, cigarettes and soap, that grows into a large enterprise. It is also the sweeping tale of his two wives and ever-burgeoning family of sons, daughters, grandchildren, great-grandchildren and great-great-grandchildren-the two strands of family and business inextricably fused because a MarwariÄôs life is defined by what he 'deals in'. The novel ends in 1972, as eighty-five-year-old Hari lies dying in the great mansion that he built but never actually lived in. Surrounded by his vast family he wonders why he is still so attached to them. Why has he not reached the third stage in life, the stage of detachment, that his schoolmaster had said he would?Spanning seven decades of an era that saw great tumult in India and Bangladesh, Harilal &amp; Sons is a wonderfully evocative, powerful and capacious narrative-overflowing with a profusion of characters, events and places-contained within the singular life of one man who 'dealt in jute and grain'.About the AuthorSujit Sarafreceived An engineering degree from IIT Delhi and a Ph.D. From Berkeley. He has conducted research for NASA, taught at IIT and worked as a space scientist in California. When not at his desk, he runs Naatak, an Indian theater company in America for which he writes and directs plays and films. He is the author of The Peacock Throne, which was shortlisted for the Encore Prize in London. His third novel, The Confession of Sultana Daku, is being made into a motion picture.",Literature & Fiction  ,Harilal and Sons - A Novel
Miller Frank,"One of the most highly anticipated sequels of all-time is finally here in BATMAN: THE DARK KNIGHT: MASTER RACE! In 1986, Frank Miller introduced his iconic take on Batman and changed the face of comics forever. Now, three decades after BATMAN: THE DARK KNIGHT RETURNS, Miller himself has returned with a third chapter to his groundbreaking saga. It's been three years since the Batman defeated Lex Luthor and saved the world from tyranny. Three years since anyone has seen Gotham City's guardian alive. Wonder Woman, Queen of the Amazons...Hal Jordan, the Green Lantern...Superman, the Man of Steel...all of the Dark Knight's allies have retreated from the front lines of the war against injustice. But now a new war is beginning. An army of unimaginable power led by Superman's own daughter is preparing to claim Earth as their new world. The only force that can stop this master race--Batman--is dead. Long live the new Batman... Collecting the full nine-issue miniseries and its mini-comic tie-in issues, BATMAN: THE DARK KNIGHT: MASTER RACE features incredible artwork from comics icon Andy Kubert (FLASHPOINT), as well as Klaus Janson (THE DARK KNIGHT RETURNS), John Romita Jr. (ALL-STAR BATMAN), Eduardo Risso (100 BULLETS) and Frank Miller himself!",Comics & Graphic Novels  ,Batman: The Dark Knight
Shahzad Sohail Anjum,"In his thesis, Sohail Shahzad carefully investigates carbon nucleophiles in selenocyclisations, as well as reaction protocols for performing such reactions catalytically. After a comprehensive introduction to the element selenium, the author goes on to report the synthesis of several substrates for carbocyclisation reactions and the use of selenium reagents for the preparation of dihydronaphthalenes. Further chapters detail electrophilic selenium-mediated reactions, and novel strategies using selenium catalysts together with stoichiometric amounts of hypervalent iodine reagents as oxidants to convert stilbene carbosylic acids into the corresponding isocoumarins. This thesis outlines some excellent new synthetic routes which will be useful tools for synthetic organic chemistry in the future.",Science  ,Novel Selenium-Mediated Rearrangements and Cyclisations
Don Winslow,"From the New York Times bestselling author of The Cartel winner of the Ian Fleming Steel Dagger Award for Best Thriller of the Year comes The Force, a cinematic epic as explosive, powerful, and unforgettable as The Wire.Detective sergeant Denny Malone leads an elite unit to fight gangs, drugs and guns in New York. For eighteen years he's been on the front lines, doing whatever it takes to survive in a city built by ambition and corruption, where no one is clean.What only a few know is that Denny Malone himself is dirty: he and his partners have stolen millions of dollars in drugs and cash. Now he's caught in a trap and being squeezed by the Feds, and he must walk a thin line of betrayal, while the city teeters on the brink of a racial conflagration that could destroy them all.Don Winslow's latest novel is a haunting story of greed and violence, inequality and race, and a searing portrait of a city on the edge of an abyss. Full of shocking twists, this is a morally complex and riveting dissection of the controversial issues confronting society today.About the Author Don Winslow is the author of nineteen acclaimed, award-winning, international bestsellers - including the No. 1 international bestseller The Cartel, winner of the Ian Fleming Steel Dagger Award, The Power of the Dog, Savages, and The Winter of Frankie Machine - several of which have been made into movies or are in development. A former investigator, anti-terrorist trainer, and trial consultant, Winslow lives in Southern California.",Fiction  ,The Force - Good Cop or Bad Cop? We're All Corrupt. Just In Our Own Ways...
DK Publishing,Each book is highly illustrative with recognizable Chhota Bheem characters. The subject both educates and entertains. The book contains narrative spreads that tell the story and feature pages that pique the child's curiosity. There is a note to parents and teachers at the end of the book that explains the significanceof the series. This book introduces children to wild animals that are caredfor in a zoo.,Comics & Graphic Novels  ,Bheem goes to the Zoo
Blumberg Jane,"Mary Shelley's Early Novels seeks to redress the commonly held view that Mary Shelley was simply another mouthpiece for her husband, Percy Bysshe Shelley. Her most challenging and ambitious novels; Frankenstein, Valperga, and The Last Man, are examined in the light of her intellectual relationship with Percy Shelley. We see the way in which these novels reflect her gradual rejection of his radical tenets in an assertion of her own intellectual and ideological independence.",Fiction  ,Mary Shelley's Early Novels
Eliot George,"The Clarendon edition of Adam Bede (1859) is the first critical edition of the work that established George Eliot's reputation. Its extensive textual apparatus lists manuscript and first edition variants from the copy-text, which is the corrected eighth edition of 1861 - her last revision of the book. The introduction locates the genesis of the novel in Eliot's family history, her travels, and her reading of literature and biography, and describes the composition process, including her debate with the publisher John Blackwood about the suitability of the subject-matter for a family audience, as both author and publisher anticipated its appearing initially in Blackwood's Edinburgh Magazine. Using Blackwood's publication ledgers, it also establishes the details of the eleven complete or nearly complete resettings of the novel in Eliot's lifetime; and examines the author's revisions to a manuscript that is popularly, but erroneously, thought to have been little altered, giving detailed attention to the dialect in the context of more than 900 variants between manuscript and first edition.",Fiction  ,Adam Bede
Weisser Susan Ostrov,"This text explores the ways in which four British novelists used and transformed the theme of women's relation to sexual love in the 18th and 19th centuries. It analyzes the moment in cultural history when gender roles, sexuality and literature met to become a new ideology.",Literary Criticism  ,"Women and Sexual Love in the British Novel, 1740-1880"
James Louis,"This inspiring survey challenges conventional ways of viewing the Victorian novel. This book: provides time maps and overviews of historical and social contexts; considers the relationship between the Victorian novel and historical, religious and bibliographic writing; features short biographies of over forty Victorian authors, including Wilkie Collins, Charles Dickens, George Eliot, and Robert Louis Stevenson; offers close readings of over 30 key texts, among them Charlotte Bront's ""Jane Eyre"" (1847) and Bram Stoker's ""Dracula"" (1897), as well as key presences, such as John Bunyan's ""Pilgrim's Progress"" (Pt 1, 1676, Pt 2, 1684); and, also covers topics such as colonialism, scientific speculation, the psychic and the supernatural, and working class reading.",Literary Criticism  ,The Victorian Novel
Ohba Tsugumi,"Light Yagami is an ace student with great prospects - and he's bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and now Light has vowed to use the power of the Death Noteto rid the world of evil. But when criminals begin dropping dead, the authorities send the legendary detective L to track down the killer. With L hot on his heels, will Light lose sight of his noble goal...or his life? After a week locked up with no one but Ryuk for company, Light is ready to give up his Death Note and all memories of it. Freed from his past actions, Light is convinced he's innocent. But L is ready to keep Light under lock and key forever, especially since the killings stopped once Light was incarcerated. Then a new wave of Kira crimes hits Japan. Someone else has gotten their hands on a Death Note, and these new deaths aren't focussed on making the world a better place, they're focussed on making money. Big business can be murder, and Kira has gone corporate!",Comics & Graphic Novels  ,"Death Note, Vol. 5"
Aira Cesar,"In Ghosts, a group of immigrant workers and their families are squatting on the haunted construction site of a luxury condominium building. One teenage girl's interest in the ghosts on the site becomes so intense that her mother realizes her life is in the balance. An Episode in the Life of a Landscape Painter tells of a point in the life of German painter Johann Moritz Rugendas, when he visits Latin America to paint its spectacular landscapes. And in The Literary Conference, a young translator called Cesar Aira travels to a literary conference, intent on world domination . . .",Fiction  ,Three Novels by Cesar Aira
Flynn Vince,"In the thrilling new novel from the No.1 New York Times bestselling Mitch Rapp series, Rapp heads to Pakistan to confront a mortal threat he may not be prepared for. In fact, this time he might have met his match. Mitch Rapp is used to winning. But now the CIA operative finds himself chasing false leads from continent to continent in an effort to keep nukes from falling into the hands of terrorists. Together with friend and colleague Scott Coleman, Rapp struggles to prevent the loss of these lethal weapons, and soon it becomes alarmingly clear that forces in Moscow are hell-bent on fomenting even more chaos and turmoil in the Middle East. Rapp must go deep into Russian territory, posing as an American ISIS recruit, to stop a plan much more dangerous and insidious than he ever expected. Written with breathless tension and heart-pounding action, Mitch Rapp's latest adventure is as timely and provocative as ever.",Fiction  ,Order to Kill - A New Mitch Rapp Novel
Pandey Ajay K,"Depression takes a toll on Ajay after his wifeís demise. Neither therapy nor medication seems to be helping Ajay in any way. However, Ajayís life takes a dramatic turn when he meets a beautiful girl named Anisha. At first, Anisha is vexed by Ajayís hatred for God, but a simple gesture of his changes Anishaís perception about him. Is this the beginning of a journey that will change, both, Ajay and Anishaís lives for good?",Fiction  ,You are the Best Friend - A True Love Story††
Pandey A.K,"A Girl to Remember†is the story of Neel, a self-proclaimed demon who is a slave to his desires, and risks even the purest of relationships for it. He lives for himself, takes life as it comes, and considers people who love as emotional fools until he sets his eyes on his new landlady, a widow. Simple language, straight narration style, unique plot and in-depth characterization are all that this book has to offer.",Fiction  ,A Girl to Remember
Rowson Martin,"In Martin Rowson's ""The Waste Land"", private detective Chris Marlowe is tasked with getting to the bottom of the most impenetrable of all modernist mysteries: namely T. S. Eliot's ""The Wasteland"". Cunningly contrived, this irreverent graphic parody is inspired in equal parts by the classic modernist poem and by the American noir novels of Raymond Chandler. Marlowe, searching for his dead partner's killers, is lured into a web of murder, deceit, lust, despair, and, of course, a frantic quest for the Holy Grail. Doped, duped, pistol-whipped, framed by the cops, and going nowhere fast, Marlowe enters a nightmare world where Robert Frost, Norman Mailer, and Edmund Wilson drink in the gloom of a London pub; where Auden is glimpsed entering the men's room; where Henry James, Aldous Huxley, and Richard Wagner share an ice cream aboard a Thames pleasure steamer; and where, out of luck and out of clues, Marlowe finally tracks down T. S. Eliot and Ezra Pound. Available again for the first time in a decade, this is an unforgettably strange trip through modern literature with one of Britain's best writers and illustrators.",Travel  ,The Waste Land
Uderzo Albert,"Can there ever be a happy ending for star-crossed lovers Melodrama and Histionix, whose fathers are rival chieftains of the same village? The only hope is to call in Asterix, Obelix and Getafix to sort out the feud, the intriguing of the sinister traitor Codfix, and the military might of Rome. Watch out for some interesting new magic potions...",Comics & Graphic Novels  ,Asterix: Asterix and the Great Divide
Prans,"Chacha Chaudhary is a middle class Indian, frail but an extremely intelligent old man. . Chacha Chaudhary's attire includes his red turban, a wooden stick, a waistcoat with a double inside pocket and a pocket watch. His household consists of his wife Bini (Chachi), a faithful street dog called Rocket and a giant alien from Jupiter named Sabu. Chacha Chaudhary enjoys eating watermelon with relish but mangoes are his weakness and takes off for a walk with Sabu and Rocket, whenever Chachi nags him. When he takes off his turban, it is shown that he is completely bald. Everybody in town knows that whenever Chacha Chaudhary goes out with his family, he never locks the door of his house; but nobody has been successful in robbing his house. However, in certain stories, Chachi(his wife) has been seen locking the house. Sometimes his head or nose itches when any trouble is going to happen. t is said that "" Chacha Chaudhary's brain works faster than a computer"".",Comics & Graphic Novels  ,Chacha Chaudhary Digest -3
Camilla Lackberg,Swedish crime sensation,Crime  ,Patrik Hedstrom and Erica Falck  ? THE ICE CHILD
Thomas Chris D.,"THE TIMES, ECONOMIST AND GUARDIAN BOOKS OF THE YEAR 2017 It is accepted wisdom today that human beings have irrevocably damaged the natural world. Yet what if this narrative obscures a more hopeful truth? In Inheritors of the Earth, renowned ecologist and environmentalist Chris D. Thomas overturns the accepted story, revealing how nature is fighting back. Many animals and plants actually benefit from our presence, raising biological diversity in most parts of the world and increasing the rate at which new species are formed, perhaps to the highest level in Earth's history. From Costa Rican tropical forests to the thoroughly transformed British landscape, nature is coping surprisingly well in the human epoch. Chris Thomas takes us on a gripping round-the-world journey to meet the enterprising creatures that are thriving in the Anthropocene, from York's ochre-coloured comma butterfly to hybrid bison in North America, scarlet-beaked pukekos in New Zealand, and Asian palms forming thickets in the European Alps. In so doing, he questions our irrational persecution of so-called 'invasive species', and shows us that we should not treat the Earth as a faded masterpiece that we need to restore. After all, if life can recover from the asteroid that killed off the dinosaurs, might it not be able to survive the onslaughts of a technological ape? Combining a naturalist's eye for wildlife with an ecologist's wide lens, Chris Thomas forces us to re-examine humanity's relationship with nature, and reminds us that the story of life is the story of change.",Science  ,Inheritors of the Earth
Kishimoto Masashi,"Naruto was a young shinobi with an incorrigible knack for mischief. Then he channeled that energy into learning amazing ninja techniques and saving the world! Now Naruto has achieved his dream to become the greatest ninja in the village and his face sits atop the Hokage monument. But new troubles are bubbling up in the shinobi world... With the world now safe and the ninja villages working together, Naruto's work as Hokage seems pretty mundane. Giving his son, Boruto, enough attention is the toughest task he has. But then Sasuke uncovers a conspiracy that may involve surviving members of the Uchiha clan. And at the same time, Sarada is begins to have doubts about the truth of her origins.",Comics & Graphic Novels  ,Naruto: The Seventh Hokage and the Scarlet Spring
Anderson Jon Lee,"Che Guevara's legend is unmatched in the modern world. Since his assassination in 1967 at the age of 39, the Argentine revolutionary has become an internationally famed icon, as revered as he is controversial. A Marxist ideologue, he sought to end global inequality by bringing down the American capitalist empire through armed guerrilla warfare - and has few rivals in the Cold War era as an apostle of change. In Che: A Revolutionary Life, Jon Lee Anderson and Jose Hernandez reveal the man behind the myth, creating a complex portrait of this passionate idealist. Adapted from Anderson's masterwork, Che transports us from young Ernesto's medical school days to the battlefields of the Cuban revolution; from his place of power alongside Castro to his disastrous sojourn in the Congo, and his violent end in Bolivia. Through renowned Mexican artist Jose Hernandez's drawings, we feel the bullets fly past in Cuba; smell the smoke of Castro's cigars; and scrutinize the face of the weary guerrilla as he is called 'Comandante' for the first time. With astonishing precision, colour, and drama, Che makes us first-hand witnesses to the revolutionary life and times of this historic figure. Combining Anderson's unprecedented access and research with Hernandez's emotionally gripping artwork, Che resurrects the man for a new generation of readers.",Comics & Graphic Novels  ,Che Guevara
