moviesId,user1,user2,user3,user4,user5,user6,user7,user8,user9,user10,user11,user12,user13,user14,user15,user16,user17,user18,user19,user20,user21,user22,user23,user24,user25,user26,user27,user28,user29,user30
93,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,4.0,,,,,3.0,,,5.0,,,,,,,,,,,,,,2.0,,
100,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
104,,,,,,4.0,,,,,,,,,,,,2.5,2.0,,,,,,,,,,,
105,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
106,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,2.0,3.5,,4.5,,,,,,,,
110,4.0,,,,4.0,5.0,,3.0,,,5.0,,,5.0,,,4.5,4.5,,,,,,,,,,3.5,,5.0
111,,,,,,,,,,,,,,,,4.5,4.0,4.0,,,,,,,,,,,,
112,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
125,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
135,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
140,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,4.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,
145,,,,,,4.0,,,,,,,,,,,,3.5,,,3.0,,,,,,,1.5,,
146,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
150,,,,,3.0,4.0,4.5,4.0,,,5.0,,,4.0,,,3.5,,,,,,,,,3.0,,,4.0,
151,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,3.0,3.0,,2.0,,,3.0,,,2.0,,,,,2.0,,,,,,,3.0,,,,
157,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,4.0,,,,,,,,,1.0,,,,3.0,3.0,,,,,,,2.0,,,
159,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,3.0,,
162,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
163,5.0,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,,,,,,
165,,,,,,3.0,4.0,,,,3.0,,,,,,,4.0,3.0,,3.5,,,3.5,,4.0,,,4.0,
168,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,
170,,,,,,3.0,,,,,4.0,,,,,,,,3.0,,2.0,,,,,,,,3.0,
171,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,
173,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
174,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
176,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,
181,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,3.0,,5.0,,,,,,,,,,,2.0,,,,,,,3.0,,,,
186,,,,,,3.0,,4.0,,,,,,,,,,,2.0,,,,,,,,,,,
187,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
189,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
195,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
201,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,
205,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,3.0,,3.0,,,3.0,,,,,,,3.0,2.0,,,,,,,2.0,,,,
209,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
212,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
216,5.0,,,,,4.0,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,
217,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,1.0,,4.0,,,,,,5.0,,,,,,,,,,,,,,,,,,
223,3.0,,,,,,,,4.0,,,,,,,,,4.0,3.0,,,,,,,,,,,
224,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,,
225,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,
230,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
231,5.0,,,,,3.0,,4.0,,,,,,3.0,,,,2.5,2.0,,,,,,4.0,,,,,
232,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
235,4.0,,,2.0,,,,3.0,,,,,,,,,,4.5,4.0,,,,,,,,,,,
236,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
239,,,,,,3.0,,,,,,,,,,,,,,4.5,,,,,,,,,,
240,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,4.0,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,
253,,,,,3.0,3.0,,5.0,,,,,,,,,,,3.0,,,4.0,,3.5,,,,3.0,,
254,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,3.0,,,,,,5.0,,,3.0,,,,1.0,,,,,,,,,,,
257,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
260,5.0,,,5.0,,,5.0,,,,,,,,5.0,3.0,5.0,4.0,4.0,,4.5,,,,5.0,,4.0,4.0,,5.0
261,,,,,4.0,4.0,,,,,,4.5,,,,,,,,,,,,,,,,,,
262,,,,,,5.0,,,,,,,,,,,,,,4.5,,,,,,,,,,
265,,,,5.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,1.0,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,,
267,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
273,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
274,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,,,,,
279,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,3.0,,3.0,,,,,,5.0,,,,,,,,,,,,,,,,
288,,,,,,2.0,,,,,,,,4.0,,,,4.0,,,,,,,,3.0,,,,
289,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
290,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,
291,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
292,,,,,,4.0,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,
293,,,,,,3.0,,,,,,,,,3.0,4.0,3.5,4.5,4.0,,3.0,,4.0,,,,,4.5,,
295,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
296,3.0,,,1.0,5.0,2.0,,4.0,,1.0,,,,3.0,4.0,3.0,5.0,4.0,,,3.5,,3.5,4.0,,4.0,,4.5,3.5,
300,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,3.0,,2.0,,
302,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
310,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
316,3.0,,,,2.0,5.0,,,,,,,,,,,,,2.0,,,,,3.5,,,4.0,4.0,4.0,
317,,,,,,4.0,,3.0,,,,,,,,,,,,3.5,,,,,,,,,,
318,,3.0,,,3.0,5.0,,5.0,,,4.0,,,3.0,5.0,4.0,5.0,5.0,,,,5.0,,4.5,,,,3.5,4.5,5.0
319,,,,5.0,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
327,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
329,,,,,,4.0,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,
330,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
332,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
333,5.0,4.0,,,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
336,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,5.0,,,,,,,,5.0,,,,4.0,,,,,,,,,,3.5,,
338,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
339,,,,,,4.0,,3.0,,,,,,4.0,,,,,3.0,,,,,,,,,,,
340,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,3.0,3.0,,,,,,,,2.0,,,,2.5,2.0,,,,,,,3.0,,,,
345,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
347,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
348,,,,4.0,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
349,4.0,,,,3.0,5.0,,,,,5.0,,,,,,,,,,,,,,,3.0,,3.0,,
350,,,,,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
351,,,,3.0,,4.0,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,
352,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,4.0,,,,,,,,,,,,,5.0,,,,,,,,,3.0,,
354,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,4.0,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,
356,4.0,,,,,5.0,5.0,3.0,,3.5,5.0,,,4.0,5.0,3.5,5.0,4.5,2.0,,4.5,5.0,,4.5,,3.0,5.0,4.0,4.5,
357,,,,3.0,2.0,3.0,,5.0,,,,3.5,,,,,,,4.0,,,,,,,,,,,
358,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
362,5.0,,,,,3.0,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,
364,,,,,3.0,5.0,,5.0,,,,,,,3.0,,,3.0,3.0,5.0,4.0,,,,,,4.0,,,
366,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
367,4.0,,,,4.0,4.0,,3.0,,,,,,1.0,,,,2.5,4.0,,3.0,,,,,,4.0,,,
368,,,,4.0,,5.0,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,
370,,,,,,4.0,,,,,,,,,,,,3.0,3.0,,5.0,,,,,,,,,
371,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
374,,,,,,3.0,,,,,,,,,,,,2.5,2.0,,,,,,,,,,,
376,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,
377,,,,,,5.0,,4.0,,,3.0,,,3.0,,,,2.5,4.0,,,,,,,,,1.5,,
378,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
379,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
380,,,,,2.0,4.0,3.0,5.0,,,4.0,,,,,,,2.5,3.0,,,,,,,3.0,,,,
381,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,
405,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
410,,,,,3.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
412,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
415,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
417,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
422,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
423,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
426,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,
431,,,,,,,,,,,,,,,,,,4.0,,,,,3.0,,,,,,,
432,,,,,,5.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,
434,,,,,,4.0,,,,,3.0,,,4.0,,,,,3.0,,,,,,,2.0,,,,
435,,,,,,3.0,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,
437,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,4.0,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,
441,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,1.0,,
445,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
448,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
450,,,,2.0,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
454,,,,,,4.0,,4.0,,,,,,,,,,,,,,,2.5,,,4.0,,,,
455,,,,,,3.0,,,,,,,,3.0,,,,,2.0,,,,,,,,3.0,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
457,5.0,,,5.0,4.0,5.0,,3.0,,,5.0,,,,,,,3.5,4.0,,,,,3.5,,4.0,,3.0,,
458,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
466,,,,,,2.0,5.0,,,,3.0,,,,,,,2.5,3.0,,,,,,,,,,,
468,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
469,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
472,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
474,,,,,4.0,4.0,,,,,4.0,,,,,,,,3.0,,,,,,,,,2.5,,
475,,,,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,,
477,,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,
480,4.0,,,,,5.0,5.0,4.0,,,4.0,,,3.0,,,4.5,3.5,2.0,,4.0,,,,,,4.0,2.5,,
481,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
485,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
489,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
491,,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
492,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,
494,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
497,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
500,3.0,,,,,5.0,,2.0,,,,,,,,,,3.5,2.0,,2.5,,,,,,,,,
502,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,
505,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
508,,,,,,4.0,,,,,,,,3.0,,,,4.0,,,,,,,,,,3.5,,
509,,,,1.0,,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,,
510,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
515,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
524,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,3.5,,
527,5.0,,0.5,,5.0,3.0,,5.0,,,,,,3.0,5.0,4.0,4.5,4.5,,,,,,,5.0,,,3.0,,
529,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,3.5,,
531,,,,,4.0,3.0,,,,,,,,,,,,,,4.5,,,,,,,,,,
532,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
534,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
536,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
537,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
538,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
539,,,,1.0,,3.0,,3.0,,,,,,4.0,,,,,3.0,,,,,,,,,,,
540,,,,,,3.0,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,
541,,,,,,,,,,,,,,,,4.5,3.5,4.0,4.0,,3.5,5.0,5.0,,,,,4.0,,
542,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
543,4.0,,,,,3.0,,,,,,3.5,,,,,,,3.0,,,,,,,,,,,
546,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
548,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,,,,,5.0,5.0,0.5,,,,,,,,,
552,4.0,,,,,3.0,,,,,,,,3.0,,,,,,,,,,3.5,,,,,,
553,5.0,,,2.0,,5.0,,,,,,,,4.0,,,,,,,,,,,,,,3.0,,
555,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,3.0,,
558,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
569,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
