Author,Description,Gener,title
Stilton Geronimo,"Geronimo Stiltonoot, Geronimo Stilton’s ancient ancestor, is in big trouble and is desperate to get out of it. Someone has stolen the grand prize for the annual comedy show, and he is made the main suspect.Summary of the BookThe cavemice are excited about the annual comedy show and are getting ready to show off their talent. There is a grand prize for the funniest mouse in the house. However, trouble starts brewing when the prize gets stolen. Geronimo Stiltonoot is made the main suspect as he said he had a cold and went to bed early. It is very important that he proves his innocence before he is in major trouble.About Geronimo StiltonGeronimo Stilton is the pseudonym of the famous Italian writer Elisabetta Dami. She has written the famous series of books on Geronimo Stilton. She co-owns the Italian based publishing company called Edizioni Piemme. She likes to get all her ideas through her travels to places around the world.",Juvenile Fiction  ,"Cavemice,  (English, Paperback, Stilton Geronimo)"
Peirce Lincoln,"This is the 7th novel in the bestselling Big Nate series! And with a new kid to convince that his school's the coolest, Nate's in for another wild ride... Geeky new kid Breckenridge Puffington III has started at P.S. 38, and Principal Nichols wants Nate to be his buddy and show him around the school. But it's hard to make a good impression when the school is one hundred years old and falling apart! Everyone's excited to celebrate the school's centenary and have a big party, but with the ceiling literally crumbling, can Nate convince Breckenridge that his school is still the coolest?",Juvenile Fiction  ,"Big Nate Lives It Up,  (English, Paperback, Peirce Lincoln)"
Herge,"The 22nd part of the canonical series, Tintin Flight 714 To Sydney is a graphic comic novel that blends adventure and humor with an interesting plot. The story is about Tintin's plane trip to Sydney and all the things that go wrong on the way. It is considered a unique volume of the franchise due to the inclusion of paranormal influences and science fiction.Summary Of The BookThe Adventures Of Tintin is one of the most famous European comic book series by Herge. Tintin, the hero the tales set in the 20th century, is a Belgian reporter. Originally written in French, all the Tintin comics have been translated into over 70 languages across the world. The series that started in 1929 as a comic strip in a Belgian newspaper's children's supplement, turned out to release 24 stand alone albums owing to Tintin's popularity among children and young adults.In Tintin Flight 714 To Sydney, Tintin's adventure begins when he, along with his friends, Professor Calculus and Captain Haddock, take a plane to Sydney to attend a conference on space exploration. Its during a pit stop in Jakarta that they meet Laszlo Carreidas, an eccentric millionaire and an aircraft industrialist, and innocently accept his offer to continue the rest of their journey in his personal jet.As Tintin's entourage proceeds on the jet ride, they find out about the crew's plan to kidnap Carreidas and also become a part of the venomous hijack. They then meet Rastapopoulos, the evil mastermind behind the plan who keeps them imprisoned in a deserted island prone to volcanic eruptions. The rest of the book is an intriguing journey where Tintin leads his team with the help of a telepathic voice, loses Snowy and comes across many challenges including an earthquake and a volcano.The author keeps intertwined the elements of humor and action without compromising on the art, while the book offers fascinating bits on telepathy and space travel.About HergeHerge was the pen name of Georges Prosper Remi, a Belgian comic writer and cartoonist.Some of his other works include Totor, Quick And Flupke, The Adventures Of Tom And Millie and Mr. Bellum.Herge was born in 1907 in Etterbeek, Brussels. After his initial schooling, he studied at Saint-Boniface, where his affinity for drawing blossomed despite the lack of formal training. His first published work was a strip in his school's Scout Paper in 1922. Herge began his career with Le XXe Siècle. Ligne Claire, his exclusive drawing style, and The Adventures Of Tintin have ever since kept him on the list of one of the top cartoonists on 20th century. Several parts of the Tintin series have featured on TV, radio and films. In addition to the Adamson Award, the Light of Truth Award and others, Remi was also inducted in 2003 to the Eisner Award Hall of Fame.",Juvenile Fiction  ,"Flight 714 to Sydney,  (English, Paperback, Herge)"
Watterson Bill,"Calvin and Hobbes is unquestionably one of the most popular comic strips of all time. The imaginative world of a boy and his real-only-to-him tiger was first syndicated in 1985 and appeared in more than 2,400 newspapers when Bill Watterson retired on January 1, 1996. The entire body of Calvin and Hobbes cartoons was originally published in hardcover as a truly noteworthy tribute to this singular cartoon in The Complete Calvin and Hobbes. Available for the first time in paperback, these four full-color volumes in a sturdy slipcase include all the Calvin and Hobbes cartoons that ever appeared in syndication. This is the treasure that all Calvin and Hobbes fans seek.About the AuthorBill Watterson is the creator of Calvin and Hobbes, one of the most popular and well-regarded cartoon strips of the twentieth century. Calvin and Hobbes appeared in newspapers from November 1985 until Watterson's retirement in 1996.",Humor  ,"The Complete Calvin and Hobbes,  (English, Paperback, Watterson Bill)"
Anne Frank,"""Anne Frank's diary needs no introduction. This beautifully written memoir of a young girl caught in the middle of one of the most horrific periods of human history, is a testament to the indestructible human will to persevere and survive in the face of the most adverse of circumstances. Where Anne Frank herself became one of the victims of the Second World War, her words, crowding every available inch of space in her diary, survived to keep her story and her memory alive for the rest of the world through the ages . . . About the AuthorBorn in June 1929, Anne Frank would've probably led a life of obscurity had her diary not been published by her father in 1947. She would have remained a number, a faceless statistic lost in some government file, but, it was not to be so. Anne's diary was, for her, a space to express herself in the most honest and candid of terms. She shied away from writing nothing, revealing all and baring her very soul on the pages of the diary. Anne remained in hiding with seven other people in a sealed-off room concealed behind a wooden bookcase in the upper annex of the building her father worked in, in Amsterdam for two years until they were all caught and transported to different concentration camps. Anne Frank was sent to the Bergen-Belsen camp where she died of typhus, a mere two weeks before the camp was liberated by British troops. She was fifteen-years-old. """,Classics  ,"Diary Of a Young Girl,  (English, Paperback, Anne Frank)"
Christopher Paolini,"Eldest: The Inheritance Cycle (Book 2) continues the story from where Eragon ended. Eragon must still train to become a dragon rider, for which he must reach the land of the elves. But that is not his only challenge.Summary Of The BookEldest: The Inheritance Cycle (Book 2) follows three different plot lines. One follows Eragon and Saphira, one focuses on Roran and what happens in the village that Eragon left to set off on his journey. The third one tells the story of Nasuada, and what happens after her father is killed.Eragon and his friends have gained a little time by driving back the forces sent by Galbatorix. But Eragon knows that to really take on the mighty power of Galbatorix, he needs to learn more about the Dragon Riders and complete his training.Eragon has to travel to the land of the elves to complete his training as a Dragon Rider. Eragon is adopted by the dwarf King, Hrothgar, into his own clan. Hrothgar asks his brother Orik to go with Eragon to the forest, where they will find the man who will train Eragon and Saphira.Meanwhile, Roran has plans underway to marry Katrina, when the village is again attacked by the soldiers of Galbatorix. The villagers come together to drive off the intruders. The Ra’zac are driven back, but one of them kidnaps Katrina and Roran decides to follow them and get her back.Ajihad, the leader of the Varden is killed. His daughter Nasuada takes over the command after her father’s funeral. Nasuada plans to move the Varden to Surda and launch an attack on the Empire from that base. Roran decides that he must get the help of the Varden if he has to rescue Katrina. He convinces the whole village to set off for Surda. On the way, Roran learns that his cousin Eragon is now a Dragon Rider.Eragon has problems continuing his training as the scars that he received in a duel trouble him. He also has other problems to face, as he is in love with Arya and does not know how to tell her. Saphira also has similar problems with a male dragon she is attracted to.As the situation builds up towards another confrontation with Galbatorix's soldiers, Eragon meets a few of his old friends and more secrets are revealed, all of which just lead to more complications.About Christopher PaoliniChristopher Paolini is an American author of Young Adult Fantasy fiction.Other books by this author include Eragon, Brisingr and Inheritance.Christopher Paolini, born in 1983, was mostly home schooled. After passing his high school exams, Paolini began writing his first book about a boy and his dragon. The series, which was initially planned as a trilogy, expanded into a five book series which has now sold over 33 million copies worldwide. The first book was also made into a movie.","9780552554107, 0552554103  ","Eldest,  (English, Paperback, Christopher Paolini)"
Elysa Hendricks,"In a lawless west Texas border town, a woman has two choices: death or dishonor. Doctor's apprentice and former Comanche slave, KC O'Connor finds a third--she buries her femininity and longing for love beneath a boyish disguise. But the arrival of an injured greenhorn shatters the shell around her hidden heart.","9780759901087, 0759901082  ","Rawhide Surrender,  (English, Paperback, Elysa Hendricks)"
David Michie," 'Wouldn 't it be wonderful if newspapers did more to share stories and insights that were really meaningful? Things that might help people lead more purposeful lives. ' The Queen glanced over at him, uncertainly. 'Tricky business, persuading the media to lift their sights from terror and trivia. Every one of us has tried. ' Pushing myself up so that I was balancing on my rear end, I fixed Kate with a pleading expression. She was a soft touch when it came to scones. There was a pause while the family glanced in my direction. Before Kate said, 'Well, not every family member. 'Rescued from unscrupulous breeders who plan to destroy him because of his floppy ear, when the Queen 's littlest corgi arrives at Windsor Castle, he finds himself in a world of red carpets, gilded chambers - and not a pile of dirty laundry to be seen.Charming his way into the affections of the royal household, Nelson offers a dog 's-eye view of life with the Queen. He eavesdrops on her encounters with celebrities, philanthropists and advisers, catching rare insights into the secrets of a purposeful life. Through one of Her Majesty 's most mysterious advisers, he discovers how the ancient ways and powerful symbols continue to exert a transformative presence. He also becomes familiar with the Queen 's most surprising quality: her gentle but firm expectation that everyone she encounters is striving to be the best that they can be.The Queen 's Corgi bursts with zest, humour and adventure. Romping through the litany of Nelson 's misdemeanours are a warm-heartedness and deep wisdom sure to delight anyone who has known the smiling face and warm tongue of a dog. It is not by chance that you hold this book in your hands.""In the tradition of David Michie's bestselling The Dalai Lama's Cat series, this charming, poignant and humorous novel about a dog's life with the royal family packs a deceptively powerful punch as it offers profound life lessons that will leave the reader transformed at a deeper level.""- Ingrid King, award winning author of Buckley's Story and publisher of The Conscious Cat.""Narrated by a plucky pup of humble beginnings, The Queen's Corgi offer's a delightful dogs-eye-view of the most famous royal residence in the world. A tail-wagging treat!""- Julia Williams, CANIDAE RPO Blog Editor""Delightfully engaging and with an intriguing mystical flavour, this book not only entertains - it also takes us on a fascinating inner journey. David weaves in wise nuggets of wisdom which will make you stop, ponder and want to apply to your own life. Another glorious book from David Michie!""- Tara Taylor, Intuitive Counselor, Motivational Speaker and Hay House Author of Through Indigo's Eyes series.""Readers who fell in love with The Dalai Lama's Cat, the wise and shining feline star of the book series, have new cause for happiness: a charming new""rags to royalty"" book by David Michie featuring a dog as the narrator - and an all-access pass for behind-the-scenes palace life.""- Layla Morgan Wilde, founder and editor of Cat Wisdom.""The Queen 's Corgi captives from first page to last as the adorable puppy escapes death, and is carried into Windsor Castle to begin life as a royal corgi. David Michie 's compelling writing style will keep you turning the pages of this heart-warming book with an understanding of dogs and the mysteries of life. Dog lovers of all ages will fall in love with The Queen 's Corgi. Highly Recommended!""- Darlene Arden, Author of Small Dogs, Big Hearts: A Guide to Caring for your Little Dog.About the AuthorDavid Michie is the internationally best-selling author of 'The Dalai Lama's Cat' series, as well as a number of books about mindfulness, meditation and Buddhism. These include the non-fiction titles 'Why Mindfulness is Better than Chocolate ', 'Hurry Up and Meditate ' and 'Buddhism for Busy People '. His books are available in 25 languages in over 30 different countries.David is a keynote speaker, corporate trainer and coach on mindfulness and meditation. He has extensive experience presenting to a wide variety of different audiences in several different countries.In 2015 he established Mindful Safaris, leading groups to Africa - where he was born and brought up - encouraging people to visit unexplored places, outer and inner, through a combination of daily game viewing trips and mindfulness sessions.David grew up in Zimbabwe, a place teeming with African wildlife, but home was always with his corgi, Tudor, who had an ear that, instead of standing, flopped.http://www.davidmichie.com",Fiction  ,"The Queen's Corgi - On Purpose - A Novel,  (English, Paperback, David Michie)"
Jeph Loeb,"The Long Halloween is one of the best works that has come out from the collaboration of Joseph Loeb and Tim Sale. The story is set around mobsters being murdered during the Holidays and this volume also sees the major transition in Harvey Dent’s character, from Gotham city’s district attorney to Two-Face.Summary of the BookTaking place during Batman's early days of crime fighting, this edition of the classic mystery is the story of a killer who murders his prey only on holidays. Batman races against time as he tries to find the notorious Holiday working with Harvey Dent and Lieutenant James Gordon. The story also sees the transformation of Harvey dent into, Two-Face.About Jeph LoebJeph Loeb is an award-winning comic writer and a famous American film writer and producer. He is a four-time Eisner Award winner and five-time Wizard Fan Awards winner. He has worked on major characters like Hulk, Spider man, Iron Man, Daredevil, and the Avengers, most of it in collaboration with Tim Sale.",Comics & Graphic Novels  ,"Batman: The Long Halloween,  (English, Paperback, Jeph Loeb)"
Disney,Everyone in the Clubhouse gets a surprise package in the mail. That is everyone but Donald. Learn how the Clubhouse friends give Donald the best special delivery ever!,"9780143334385, 0143334387  ","Donald's Special Roundup,  (English, Hardcover, Disney)"
Sattouf Riad,"VOLUME 3 IN THE UNFORGETTABLE STORY OF AN EXTRAORDINARY CHILDHOOD Praise for The Arab of the Future series 'I TORE THROUGH IT... THE MOST ENJOYABLE GRAPHIC NOVEL I'VE READ IN A WHILE' Zadie Smith 'I JOYOUSLY RECOMMEND THIS BOOK TO YOU' Mark Haddon 'RIAD SATTOUF IS ONE OF THE GREAT CREATORS OF OUR TIME' Alain De Botton 'A MASTERPIECE' Posy Simmonds | 'EXCELLENT' Guardian | 'Truly fantastic' Vulture After having followed her husband to Libya and then to Syria, Riad's mother can't take any more of village life in Ter Maaleh: she wants to go back to France. Young Riad sees his father torn between his wife's aspirations and the weight of family traditions... The Arab of the Future tells the story of Riad Sattouf's childhood in the Middle East. The first volume covers the period from 1978 to 1984: from birth to the age of six, little Riad is shuttled between Libya, Brittany and Syria. The second volume tells the story of his first year of school in Syria (1984-1985). This third volume sees him between the ages of six and nine, the time he becomes aware of the society he is growing up in. Can you celebrate Christmas in Ter Maaleh? Were there video clubs in Homs? How do children of eight fast for Ramadan? Was Conan the Barbarian circumcised? Were Breton villagers kinder to their animals than their Syrian counterparts? How far will Riad go to please his father? And how far will his father go to become an important man in the Syria of Hafez Al-Assad? Translated by Sam Taylor. ***THE ARAB OF THE FUTURE - THE INTERNATIONAL SENSATION*** 1 MILLION COPIES SOLD WORLDWIDE | #1 BESTSELLER IN FRANCE | GUARDIAN 'BEST GRAPHIC BOOKS OF 2015' PICK | NY TIMES EDITOR'S CHOICE |",Comics & Graphic Novels  ,"The Arab of the Future 3,  (English, Paperback, Sattouf Riad)"
Sir Doyle Arthur Conan,"The Complete Sherlock Holmes is the collection of all 56 stories and 4 novels starring the genius detective Sherlock Holmes and his loyal sidekick Watson by Arthur Conan Doyle.Summary of the BookJames Watson MD, could not have picked a stranger roommate. He didn’t think much of Sherlock Holmes at first though, but he was very mistaken. Sherlock Holmes was a consultant detective, one whose opinion Scotland Yard needed time and again. This collection brings readers all the stories, including A Study in Scarlet, The Sign of the Four, The Hound of the Baskervilles, The Valley of Fear, The Adventures of Sherlock Holmes, The Memoirs of Sherlock Holmes, The Return of Sherlock Holmes, His Last Bow, and The Case-Book of Sherlock Holmes. Join Holmes and Watson as they tackle boredom with by solving murders, crimes and mysteries most macabre.About Arthur Conan DoyleSir Arthur Conan Doyle was a Scottish writer and physician best known for his mystery novels and short stories featuring Sherlock Holmes. He is also famous for his Professor Challenger series detailed in: The Lost World, The Poison Belt and The Land of Mist.Doyle studied medicine at the University of Edinburgh. He was knighted in 1902 by King Edward for his services as a volunteer doctor in the Langman Field Hospital at Bloemfontein between March and June 1900.",Fiction  ,"The Complete Sherlock Holmes - All 56 Stories & 4 Novels,  (English, Paperback, Sir Doyle Arthur Conan)"
Riordan Rick,"This graphic novel brings alive Rick Riordan’s epic fantasy novel, Percy Jackson and the Lightning Thief, for fans everywhere. Relive the magic of the first book of Percy Jackson and the Olympians now!Summary of the BookPercy Jackson thinks he’s an ordinary twelve year old boy. He doesn’t know how wrong he is. His mother hasn’t told him the truth about his father. The man they live with now is a despicable man, a man his mother tolerates only because he offers some modicum of protection. However, Percy’s real father is not an ordinary man. He has a secret job that forces him to stay away from Percy at all times. Percy can never meet him, because he has too many enemies. No, his dad isn’t a secret government official: he’s a God, the God of the Oceans: Poseidon!About Rick RiordanRick Riordan is an American writer. He is best known for his series Tres Navarre and Percy Jackson and the Olympians.Riordan graduated from the University of Texas. The Percy Jackson series was adapted into two films of a supposedly planned trilogy. The films starred Logan Lerman as the titular character.Series Reading OrderThis is the first issue of the graphic novel adaptation of Rick Riordan’s first book. If you’re aching for more, go ahead and buy the second issue now! If you’re impatient, you’ll want to buy the novels: Percy Jackson and the Lightning Thief and its sequel: The Sea of Monsters.",Juvenile Fiction  ,"Percy Jackson and the Lightning Thief: The Graphic Novel (Book 1),  (English, Paperback, Riordan Rick)"
Stilton Geronimo,"This time, in the Geronimo Stilton adventure series, Stilton is all set for a new adventure – cooking!Summary of the BookIn this title, Geronimo Stilton must learn how to cook. There is going to be a major event called The Super Chef Contest, and the winner is going to be declared the best chef on Mouse Island! But Geronimo is assisting his cousin, Trap, who has resolved to enter the contest. Will Geronimo help Trap win the competition, although cooking is a new art that he needs to master?About Geronimo StiltonGeronimo Stilton, a talking mouse, is a best-selling author living in New Mouse City. He works as a journalist and editor for The Rodent’s Gazette. Geronimo Stilton was created by Elisabetta Dami and popularized in a series of novels published by Edizioni Piemme of Milan, Italy. Since the character’s conception, many writers have continued the series.",Juvenile Fiction  ,"The Super Chef Contest,  (English, Paperback, Stilton Geronimo)"
Pai Anant,"Amar Chitra Katha is certainly considered as one of the best graphic novels developed in India. Varied stories in this History Collection are sure to inculcate thoughts of courage and wisdom in the readers’ mind.Summary of the BookHistory Collection is a compilation of Amar Chitra Katha’s best stories. This book includes 10 titles, namely Hiuen Tsang, Shah Jahan, Raja Raja Chola, Ashoka, Rani Of Jhansi, The Legend Of Lalit Aditya Rana Sanga, Akbar, Bajirao and The Historic City Of Delhi. These stories are of courage and power, thus making the readers understand the importance of courage.About Anant PaiAnant Pai popularly known as Uncle Pai is the pioneer of Indian comics. He the creator of the Amar Chitra Katha Series, the famous Tinkle books and Suppandi comics.",Juvenile Nonfiction  ,"History Collection,  (English, Paperback, Pai Anant)"
Kyra Evonne,"A freelance writer, Kaori Lynn is in a great position in her life. She is thirty years old, newly divorced with a great career. Her loving, but rivaling friends, Stacey and Vanessa, often try to get Kaori out on the town. Kaori\'s admirer, Darold Walker, wants to tell her how he feels, but the timing never seems to be right. Owner of a popular poetry club, Darold thinks that Kaori should be with him, but she\'s constantly being put to the side by her man, divorce lawyer Jackson Carver. Darold doesn\'t understand why she stays with Jackson, especially when he treats her as nothing more than eye candy. Kaori knows what she wants but does she know the SECRET of the man she loves? After discovering Jackson\'s promotion to partner at the firm, Kaori begins to find out just how much turmoil their three year relationship is in when she\'s faced with having to make a valuable life decision on trust in the midst of confusion. Tina Carver, Jackson\'s mother, is heartless toward Kaori. Tina, a socialite, pries in all of her son\'s relationships adversely trying to force the women out of their lives. Although, Kaori feels strong enough to stand up to her, she is hoping Jackson will defend her. Kaori wants to know what Tina is trying to entail and in the midst finds her impeccable strength is weakening. Kaori caters to Jackson while forgetting her own personal desires not realizing that they\'re fading away. Wanting and needing to feel loved and appreciated by Jackson, she often finds herself in the relationship alone. What does she have to do to help her to cope? Because I Love, will take you on a journey and make you think twice about what you think you know about LOVE.","9781449094355, 144909435X  ","Because I Love, a Novel,  (English, Hardcover, Kyra Evonne)"
Kyra Evonne,"A freelance writer, Kaori Lynn is in a great position in her life. She is thirty years old, newly divorced with a great career. Her loving, but rivaling friends, Stacey and Vanessa, often try to get Kaori out on the town. Kaori's admirer, Darold Walker, wants to tell her how he feels, but the timing never seems to be right. Owner of a popular poetry club, Darold thinks that Kaori should be with him, but she's constantly being put to the side by her man, divorce lawyer Jackson Carver. Darold doesn't understand why she stays with Jackson, especially when he treats her as nothing more than eye candy. Kaori knows what she wants but does she know the SECRET of the man she loves? After discovering Jackson's promotion to partner at the firm, Kaori begins to find out just how much turmoil their three year relationship is in when she's faced with having to make a valuable life decision on trust in the midst of confusion. Tina Carver, Jackson's mother, is heartless toward Kaori. Tina, a socialite, pries in all of her son's relationships adversely trying to force the women out of their lives. Although, Kaori feels strong enough to stand up to her, she is hoping Jackson will defend her. Kaori wants to know what Tina is trying to entail and in the midst finds her impeccable strength is weakening. Kaori caters to Jackson while forgetting her own personal desires not realizing that they're fading away. Wanting and needing to feel loved and appreciated by Jackson, she often finds herself in the relationship alone. What does she have to do to help her to cope? Because I Love, will take you on a journey and make you think twice about what you think you know about LOVE.","9781449094348, 1449094341  ","Because I Love, a Novel,  (English, Paperback, Kyra Evonne)"
